,scientificName,stateProvince,municipality,verbatimLocality,verbatimCoordinates,verbatimElevation,eventDate,habitat,observaciones,Abundancia,Legatarios,Número de pliego
118,Foeniculum vulgare Mill.,Or,Rubiá,Veiga de Cascallá,29TPH7303,,26-VII-2003,talud pedregoso,,,J.L. Camaño & I. Gómez,LOU 25497
119,Matthiola fruticulosa (L.) Maire,Or,Rubiá,"Vilardesilva, mirador sobre el Sil",29TPH7903,,26-VII-2003,grietas de roca caliza,,,J.L. Camaño & I. Gómez,LOU 25498
120,Cheilanthes acrostica (Balb.) Tod.,Or,Rubiá,"Vilardesilva, mirador sobre el Sil",29TPH7903,,26-VII-2003,grietas de roca caliza,,,J.L. Camaño & I. Gómez,LOU 25499
121,Tanacetum vulgare L.,Po,A Lama,Xende,29TNG2792,,03-VIII-2003,ambiente ruderal,,,J.L. Camaño & I. Gómez,LOU 25500
122,Erodium cicutarium (L.) L'Hér.,C,Rois,Urdilde,29TNH2242,,17-IV-2003,campos,,,J.L. Camaño & I. Gómez,LOU 25501
123,Valeriana dioica L.,C,Santiago de Compostela,Chaián,29TNH3855,,26-IV-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25502
124,Hypericum androsaemum L.,Or,Parada de Sil,Sacardebois,,,8-VI-2003,talud sombrío con terreno húmedo bajo Castanea sativa,,,J.L. Camaño & I. Gómez,LOU 25503
125,Phagnalon saxatile (L.) Cass.,Or,A Teixeira,Monasterio de San Paio,29TPG2794,,08-VI-2003,grietas en los muros del Monasterio,,,J.L. Camaño & I. Gómez,LOU 25504
126,Luzula lactea (Link) E. Mey.,Or,Nogueira de Ramuín,Monte Meda,29TPG1091,,08-VI-2003,"monte bajo, próximo a arrollo estacional",,,J.L. Camaño & I. Gómez,LOU 25505
127,Stellaria holostea L.,Or,Parada de Sil,Monte Meda,29TPG1791,,8-VI-2003,cuneta de pista forestal,,,J.L. Camaño & I. Gómez,LOU 25506
128,Orobanche foetida Poir.,Or,Teixeira,Lumeares,29TPG2594,,08-VI-2003,cuneta de carretera junto a Trifolium,,,J.L. Camaño & I. Gómez,LOU 25507
129,Polygonum persicaria L.,Or,Rubiá,Veiga de Cascallá,29TPH7303,,26-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25508
130,Saponaria officinalis L.,Or,Rubiá,Veiga de Cascallá,29TPH7303,,26-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25509
131,Circaea lutetiana L.,Or,Rubiá,Veiga de Cascallá,29TPH7303,,26-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25510
132,Phagnalon saxatile (L.) Cass.,Or,Rubiá,Vilardesilva,29TPH7803,,26-VII-2003,talud rocoso calizo,,,J.L. Camaño & I. Gómez,LOU 25511
133,Daphne gnidium L.,Or,Rubiá,Vilardesilva,29TPH7803,,26-VII-2003,prados abandonados,,,J.L. Camaño & I. Gómez,LOU 25512
134,Salvia verbenaca L.,Or,Rubiá,Vilardesilva,29TPH7803,,26-VII-2003,prados abandonados,,,J.L. Camaño & I. Gómez,LOU 25513
135,Melilotus albus Medik.,Or,Rubiá,Vilardesilva,29TPH7803,,26-VII-2003,prados,,,J.L. Camaño & I. Gómez,LOU 25514
136,Circaea lutetiana L.,Lu,Cervantes,"entre Degrada y Piornedo, cerca del Río Ser",29TPH7344,,26-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25515
137,Juncus effusus L.,Lu,Cervantes,"entre Degrada y Piornedo, cerca del Río Ser",29TPH7344,,26-VII-2003,"terreno encharcado, cerca de arroyo",,,J.L. Camaño & I. Gómez,LOU 25516
138,Scrophularia herminii Hoffmanns. & Link,Lu,Cervantes,"entre Degrada y Piornedo, cerca del Río Ser",29TPH7344,,26-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25517
139,Mycelis muralis (L.) Dumort.,Lu,Cervantes,"entre Degrada y Piornedo, cerca del Río Ser",29TPH7344,,26-VII-2003,bosque de ribera,,,J.L. Camaño & I. Gómez,LOU 25518
140,Tragopogon sp.,Or,Rubiá,Vilardesilva,29TPH7803,,26-VII-2003,prados,,,J.L. Camaño & I. Gómez,LOU 25519
141,Ruta montana (L.) L.,Or,Rubiá,Vilardesilva,29TPH7803,,26-VII-2003,"talud en la carretera, sobre sustrato calizo",,,J.L. Camaño & I. Gómez,LOU 25520
142,Pallenis spinosa (L.) Cass.,Or,Rubiá,Vilardesilva,29TPH7803,,26-VII-2003,"talud en la carretera, sobre sustrato calizo",,,J.L. Camaño & I. Gómez,LOU 25521
143,Ononis spinosa L.,Or,Rubiá,Vilardesilva,29TPH7803,,26-VII-2003,"talud en la carretera, sobre sustrato calizo",,,J.L. Camaño & I. Gómez,LOU 25522
144,Prunella hastifolia Brot.,Lu,Cervantes,Piornedo,29TPH7347,,26-VII-2003,caminos cerca del pueblo,,,J.L. Camaño & I. Gómez,LOU 25523
145,Pteridium aquilinum (L.) Kuhn,Lu,,Pobra de Brollón,29TPH31,,,"lindes entre campos, bajo Quercus petraea",,,J.L. Camaño & I. Gómez,LOU 25524
146,Hypericum androsaemum L.,Lu,Cervantes,"entre Degrada y Piornedo, cerca del Río Ser",29TPH7344,960.0,26-VII-2003,bosque de ribera de Corylus y Betula,,,J.L. Camaño & I. Gómez,LOU 25525
