occurrenceID,dwc_references,identifier,title,author,imagedate,rightsholder,description,description_with_links,license
SANT:SANT:63187-A,http://www.usc.es/herbario?SANT_63187,http://193.144.34.193/imsrv/santimagethumb.php?id=3646,SANT 63187: Valeriana dioica L.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63187: Valeriana dioica L. [Click reference links for details & high resolution images],SANT 63187: Valeriana dioica L. <a href=http://www.usc.es/herbario?SANT_63187 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63191-A,http://www.usc.es/herbario?SANT_63191,http://193.144.34.193/imsrv/santimagethumb.php?id=3423,SANT 63191: Fagopyrum esculentum Moench.,D.G.SanLeón,2010-12-01T20:00:00,D.G.SanLeón,SANT 63191: Fagopyrum esculentum Moench. [Click reference links for details & high resolution images],SANT 63191: Fagopyrum esculentum Moench. <a href=http://www.usc.es/herbario?SANT_63191 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63191-A,http://www.usc.es/herbario?SANT_63191,http://193.144.34.193/imsrv/santimagethumb.php?id=3424,SANT 63191: Fagopyrum esculentum Moench.,D.G.SanLeón,2010-12-01T20:00:00,D.G.SanLeón,SANT 63191: Fagopyrum esculentum Moench. [Click reference links for details & high resolution images],SANT 63191: Fagopyrum esculentum Moench. <a href=http://www.usc.es/herbario?SANT_63191 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63196-A,http://www.usc.es/herbario?SANT_63196,http://193.144.34.193/imsrv/santimagethumb.php?id=3425,SANT 63196: Daucus carota L.,D.G.SanLeón,2010-12-01T20:00:00,D.G.SanLeón,SANT 63196: Daucus carota L. [Click reference links for details & high resolution images],SANT 63196: Daucus carota L. <a href=http://www.usc.es/herbario?SANT_63196 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63196-A,http://www.usc.es/herbario?SANT_63196,http://193.144.34.193/imsrv/santimagethumb.php?id=3426,SANT 63196: Daucus carota L.,D.G.SanLeón,2010-12-01T20:00:00,D.G.SanLeón,SANT 63196: Daucus carota L. [Click reference links for details & high resolution images],SANT 63196: Daucus carota L. <a href=http://www.usc.es/herbario?SANT_63196 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63197-A,http://www.usc.es/herbario?SANT_63197,http://193.144.34.193/imsrv/santimagethumb.php?id=6178,SANT 63197: Foeniculum vulgare Mill.,D.G.SanLeón,2013-01-25T20:00:00,D.G.SanLeón,SANT 63197: Foeniculum vulgare Mill. [Click reference links for details & high resolution images],SANT 63197: Foeniculum vulgare Mill. <a href=http://www.usc.es/herbario?SANT_63197 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63198-A,http://www.usc.es/herbario?SANT_63198,http://193.144.34.193/imsrv/santimagethumb.php?id=3427,SANT 63198: Sonchus oleraceus L.,D.G.SanLeón,2010-12-01T20:00:00,D.G.SanLeón,SANT 63198: Sonchus oleraceus L. [Click reference links for details & high resolution images],SANT 63198: Sonchus oleraceus L. <a href=http://www.usc.es/herbario?SANT_63198 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63198-A,http://www.usc.es/herbario?SANT_63198,http://193.144.34.193/imsrv/santimagethumb.php?id=3428,SANT 63198: Sonchus oleraceus L.,D.G.SanLeón,2010-12-01T20:00:00,D.G.SanLeón,SANT 63198: Sonchus oleraceus L. [Click reference links for details & high resolution images],SANT 63198: Sonchus oleraceus L. <a href=http://www.usc.es/herbario?SANT_63198 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63199-A,http://www.usc.es/herbario?SANT_63199,http://193.144.34.193/imsrv/santimagethumb.php?id=3436,SANT 63199: Ulex europaeus L.,D.G.SanLeón,2010-12-17T20:00:00,D.G.SanLeón,SANT 63199: Ulex europaeus L. [Click reference links for details & high resolution images],SANT 63199: Ulex europaeus L. <a href=http://www.usc.es/herbario?SANT_63199 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63208-A,http://www.usc.es/herbario?SANT_63208,http://193.144.34.193/imsrv/santimagethumb.php?id=3447,SANT 63208: Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl subsp. bulbosum (Willd.) Schübl. & G.Martens,D.G.SanLeón,2010-12-17T20:00:00,D.G.SanLeón,SANT 63208: Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl subsp. bulbosum (Willd.) Schübl. & G.Martens [Click reference links for details & high resolution images],SANT 63208: Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl subsp. bulbosum (Willd.) Schübl. & G.Martens <a href=http://www.usc.es/herbario?SANT_63208 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
